Ambigous_word,POS_Tag,Ambigous_word_index,Sentence1,Sentence2,Label
back,N,"['1', '4']",his back was nicely tanned ,he stood at the back of the stage ,F
lift,V,"['0', '0']",lift my spirits ,lift his ego ,T
think,V,"['3', '1']",she did nt think to harm me ,i thought for three hours about the problem and still could nt find the solution ,T
convert,V,"['0', '0']",convert slaves to laborers ,convert lead into gold ,T
play,V,"['0', '1']",play games ,he plays on three teams ,T
company,N,"['5', '7']",the house was filled with company when i arrived ,keep the house clean  i have company coming ,T
variant,N,"['1', '5']",a variant of the same word ,all breeds of dog are variants of the species  canis lupus familiaris  ,T
bite,N,"['4', '12']",the government s weekly bite from my paycheck ,after just one night in the jungle i was covered with mosquito bites ,F
life,N,"['5', '1']",the oceans are teeming with life ,social life ,F
execute,V,"['1', '2']",to execute a difficult piece of music brilliantly ,the skater executed a triple pirouette ,T
backup,N,"['12', '3']",after the power failure  we had to restore the database from backup ,he made a backup in case the original was accidentally damaged or erased ,T
story,N,"['6', '1']",our shop was on the fourth story of the building  so we had to install an elevator ,the story of exposure to lead ,F
court,N,"['6', '7']",the girls were playing in the court ,the house was built around an inner court ,T
play,V,"['3', '3']",i used to play with trucks as a little girl ,the kids were playing outside all day ,T
hearing,N,"['1', '1']",his hearing was impaired ,my hearing is nt what it used to be  but i still heard that noise ,T
mean,V,"['1', '1']",i mean no harm ,i meant to take the car in for a smog check  but it slipped my mind ,T
cover,V,"['3', '0']",does my policy cover accidental loss ,cover the meat with a lot of gravy ,F
concoction,N,"['6', '4']",she has no peer in the concoction of mystery stories ,his testimony was a concoction ,T
derivation,N,"['5', '3']",he prefers shoes of italian derivation ,music of turkish derivation ,T
charge,V,"['2', '0']",can i charge this purchase ,charge a conductor ,F
furniture,N,"['2', '6']",how much furniture did they leave behind ,there was only one piece of furniture in the room ,T
strike,V,"['2', '0']",we will strike a medal in your honour ,strike a medal ,T
leave,V,"['0', '3']",leave the room ,she wants to leave ,F
miracle,N,"['4', '6']",an example of a miracle associated with muhammad is the splitting of the moon ,many religious beliefs are based on miracles ,T
unionize,V,"['11', '13']",the company laid off all the workers when they tried to unionize ,we do nt allow people to come into our plant and try to unionize the workers ,T
press,V,"['1', '3']",to press a crowd back ,this guy can press 300 pounds ,F
song,N,"['1', '5']",the song of bullets was in the air ,he bought it for a song ,F
set,N,"['7', '1']",his instructions deliberately gave them the wrong set ,a set of tools ,F
smoke,N,"['3', '5']",it was just smoke and mirrors ,he showed batters nothing but smoke ,F
foot,N,"['3', '1']",he followed on foot ,the foot of the mountain ,F
arouse,V,"['1', '1']",to arouse anger ,to arouse compassion ,T
tolerate,V,"['13', '2']",i like the way he plays the guitar  but i ca nt tolerate his voice when he sings ,i can tolerate working on saturdays  but not on sundays ,T
affinity,N,"['1', '2']",an affinity for politics ,james s affinity with sam ,T
leave,V,"['0', '1']",leave it as is ,i left my keys inside the car and locked the doors ,F
hit,V,"['2', '2']",the thermometer hit 100 degrees ,the movie hits theaters in december ,T
vouch,V,"['1', '1']",i vouch for the quality of my products ,he vouched his words by his deeds ,F
pop,V,"['0', '5']",pop the pizza into the microwave oven ,the man charged with murder popped a valium to calm his nerves ,F
fall,V,"['0', '0']",fall into a trap ,fall in love ,T
window,N,"['2', '3']",the expanded window will give us time to catch the thieves ,they had a window of less than an hour when an attack would have succeeded ,T
carry,V,"['1', '1']",to carry well  ie to hold the head high  with arching neck ,he carried himself upright ,T
pit,V,"['0', '2']",pit plums and cherries ,one must pit a peach to make it ready for a pie ,T
air,N,"['4', '1']",she was humming an air from beethoven ,an air of mystery ,F
orbit,V,"['1', '3']",electrons orbit the nucleus ,the planets are orbiting the sun ,T
death,N,"['5', '1']",he seemed more content in death than he had ever been in life ,her death came as a terrible shock ,F
develop,V,"['0', '2']",develop the rook ,the country developed into a mighty superpower ,F
order,N,"['5', '3']",the machinery is out of order ,ibm received an order for a hundred computers ,F
class,N,"['1', '2']",the class of 1982 was particularly noteworthy ,early morning classes are always sleepy ,T
care,V,"['3', '3']",he does nt care about how  whether she comes ,i do nt care ,T
heart,N,"['1', '5']",the heart and soul of any democracy is its electorate ,you have nt got the heart for baseball ,F
mow,V,"['0', '1']",mow the grass ,he mowed the lawn ,T
smear,V,"['0', '5']",smear the wall with paint ,the opposition party attempted to smear the candidate by spreading incorrect and unverifiable rumors about their personal behavior ,F
taste,N,"['4', '4']",arrogance and lack of taste contributed to his rapid success ,she enjoyed her brief taste of independence ,F
overkill,N,"['12', '11']",should i give you yet more homework  or would that be overkill ,24 hours of tv coverage of the us election verged on overkill ,T
camp,N,"['10', '5']",city kids get to see the country at a summer camp ,the living room was pure camp ,F
hand,N,"['2', '3']",a ranch hand ,give him a hand ,F
translate,V,"['3', '1']",i have to translate when my in  laws from austria visit the us,braque translated collage into oil ,F
charge,V,"['5', '4']",will you pay cash or charge the purchase ,how much do you charge for lunch ,F
loss,N,"['6', '7']",it was written off as a loss ,everyone expected him to win so his loss was a shock ,F
shortness,N,"['2', '3']",can cause shortness of breath ,there was no shortness of money ,T
house,N,"['3', '9']",this is my house and my family s ancestral home ,she felt she had to get out of the house ,T
surface,N,"['5', '6']",earthquakes originate far below the surface ,three quarters of the earth s surface is covered by water ,T
help,V,"['3', '3']",she could not help watching the sad spectacle ,this money will help the development of literacy in developing countries ,F
case,N,"['7', '5']",the teaching consists of theory lessons and case studies ,it may rain in which case the picnic will be canceled ,T
drop,V,"['3', '8']",shop til you drop ,a single shot was fired and the bird dropped from the sky ,T
visibility,N,"['1', '1']",the visibility from that angle was good ,low visibility caused by fog ,T
case,N,"['3', '14']",it was a case of bad judgment ,for english  a compositor will ordinarily have two such cases  the upper case containing the capitals and the lower case containing the small letters ,F
feeling,N,"['4', '3']",i had a strange feeling in my leg ,she had a feeling of euphoria ,F
time,N,"['7', '3']",he was a great actor in his time ,he had a time holding back the tears ,F
draw,V,"['7', '2']",a ship s sail is said to draw when it is filled with wind ,this horse draws well ,T
dozen,N,"['7', '4']",there should nt be more than two dozen christmas cards left to write ,can i have a dozen eggs  please ,T
hand,N,"['6', '5']",i did nt hold a good hand all evening ,objections were voiced on every hand ,F
attendance,N,"['3', '10']",a student s attendance is an important factor in her grade ,the class sat down so that the teacher could take attendance ,F
fish,N,"['3', '12']",in japan most fish is eaten raw ,after the scare about footandmouth disease a lot of people started eating fish instead of meat ,T
grade,N,"['0', '4']",grade a milk ,he got a good grade on the test ,T
key,N,"['1', '1']",the key to winning a game ,the key to development is economic integration ,T
education,N,"['3', '4']",a girl s education was less important than a boy s ,he received no formal education ,F
reach,V,"['2', '2']",our advertisements reach millions ,his hand reaches the river ,F
connect,V,"['3', '2']",this computer will connect well to the network ,these computers connected well ,T
fire,N,"['3', '4']",there was a fire at the school last night and the whole place burned down ,we sat around the fire singing songs and telling stories ,F
coverage,N,"['13', '3']",before laying sod on that clay  the ground needs two inches of coverage with topsoil ,there are overlapping coverages on your insurance policies ,T
belong,V,"['4', '5']",these pages do nt belong ,the uniform looks like it belonged to a museum collection ,T
thing,N,"['1', '4']",this thing has got to end ,it is a remarkable thing ,T
crash,V,"['4', '2']",will the stock market crash again ,the economy crashed ,T
touch,N,"['5', '2']",this dish could use a touch of garlic ,at his touch the room filled with lights ,F
industry,N,"['1', '2']",american industry is making increased use of computers to control production ,frugality and industry are still regarded as virtues ,F
fiddle,V,"['2', '7']",the reporter fiddle with the facts ,we found out that she had been fiddling for years ,F
arouse,V,"['1', '1']",to arouse jealousy ,to arouse compassion ,T
stretch,V,"['1', '2']",cats stretch with equal ease and agility beyond the point that breaks a man on the rack ,i always stretch my muscles before exercising ,T
land,N,"['5', '6']",he built the house on land leased from the city ,there s no work on the land any more ,F
lesson,N,"['5', '3']",the accident was a good lesson to me ,he did the lesson for today ,F
hold,N,"['4', '3']",she kept a firm hold on the railing ,keep a firm hold on the handlebars ,T
change,N,"['5', '5']",the product is undergoing a change in order to improve it ,this storm is certainly a change for the worse ,T
grace,N,"['5', '8']",it was debated whether saving grace could be obtained outside the membership of the church ,i m so grateful to god for the grace that he has given me ,F
